id,primer plato,segundo plato,precio
1,Ensalada César,Pasta Alfredo,14.99
2,Sopa de Tomate,Pollo a la Parrilla,14.99
3,Bruschetta de Champiñones,Lasaña de Carne,14.99
4,Crema de Calabaza,Risotto de Champiñones,14.99
5,Ensalada Caprese,Rollitos de Primavera,14.99
6,Sopa de Verduras,Pescado a la Plancha,14.99
7,Ensalada Griega,Pasta Primavera,14.99
8,Bruschetta de Tomate y Albahaca,Tortilla Española,14.99
9,Sopa de Lentejas,Pollo al Curry,14.99
10,Ensalada de Espinacas y Fresas,Arroz con Verduras,14.99
11,Ensalada de Frutas,Filete de Salmón,14.99
12,Gazpacho,Costillas de Cerdo BBQ,14.99
13,Sopa de Champiñones,Tacos de Carne,14.99
14,Ensalada de Aguacate y Mango,Pollo al Limón,14.99
15,Bruschetta de Tomate y Mozzarella,Risotto de Espárragos,14.99
16,Crema de Espárragos,Pollo al Horno,14.99
17,Ensalada de Quinoa,Estofado de Ternera,14.99
18,Sopa de Calabacín,Lasaña Vegetariana,14.99
19,Ensalada Waldorf,Rollitos de Sushi,14.99
20,Ensalada de Pollo a la Barbacoa,Tortellini de Queso,14.99
21,Sopa de Cebolla Francesa,Bistec con Patatas,14.99
22,Ensalada de Remolacha y Naranja,Pescado al Horno,14.99
23,Crema de Brócoli,Risotto de Setas,14.99
24,Ensalada de Aguacate y Camarones,Pollo Teriyaki,14.99
25,Bruschetta de Aguacate y Tomate,Estofado de Pollo,14.99
